0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Census Tract 359, Philadelphia County, Pennsylvania",4915,11,87,181,79,340,353,115,118,196,599,149,73,42,101,035900,0.1623763987792472
"Census Tract 362.01, Philadelphia County, Pennsylvania",4070,0,106,235,52,195,119,78,172,173,604,296,90,42,101,036201,0.19261179361179362
"Census Tract 362.02, Philadelphia County, Pennsylvania",4871,0,434,159,110,280,101,58,142,403,890,141,76,42,101,036202,0.2149414904537056
"Census Tract 106, Philadelphia County, Pennsylvania",1252,0,0,27,0,16,21,54,17,16,216,67,7,42,101,010600,0.13195686900958464
"Census Tract 244, Philadelphia County, Pennsylvania",2682,0,14,51,128,88,115,23,149,36,405,42,82,42,101,024400,0.16456002982848622
"Census Tract 246, Philadelphia County, Pennsylvania",2066,0,48,14,13,53,33,0,0,65,499,129,60,42,101,024600,0.14469506292352372
"Census Tract 249, Philadelphia County, Pennsylvania",2162,0,28,42,12,64,29,0,60,76,504,43,0,42,101,024900,0.1416281221091582
"Census Tract 258, Philadelphia County, Pennsylvania",1468,0,25,48,3,51,57,0,38,103,266,45,53,42,101,025800,0.17820163487738422
"Census Tract 265, Philadelphia County, Pennsylvania",4318,0,62,60,13,248,257,24,45,198,822,179,75,42,101,026500,0.15238767948124132
"Census Tract 267, Philadelphia County, Pennsylvania",5229,0,68,195,15,393,329,0,40,238,1089,84,53,42,101,026700,0.14848345764008417
"Census Tract 268, Philadelphia County, Pennsylvania",3700,0,43,92,23,103,91,5,89,247,793,155,112,42,101,026800,0.18183513513513513
"Census Tract 319, Philadelphia County, Pennsylvania",4306,0,294,126,85,233,62,24,181,186,824,319,254,42,101,031900,0.2150603808639108
"Census Tract 330, Philadelphia County, Pennsylvania",5694,0,402,169,87,207,121,158,146,227,859,206,89,42,101,033000,0.17125746399719005
"Census Tract 340, Philadelphia County, Pennsylvania",2313,0,31,107,56,202,136,25,101,132,334,58,54,42,101,034000,0.19600086467790748
"Census Tract 346, Philadelphia County, Pennsylvania",2174,0,60,105,28,241,92,0,65,109,354,43,81,42,101,034600,0.17921803127874886
"Census Tract 348.01, Philadelphia County, Pennsylvania",3742,43,187,161,48,203,230,63,88,266,400,90,94,42,101,034801,0.18250935328701232
"Census Tract 61, Philadelphia County, Pennsylvania",2309,0,0,17,37,110,143,0,139,107,397,60,159,42,101,006100,0.1990818536162841
"Census Tract 84, Philadelphia County, Pennsylvania",3445,0,53,23,0,156,174,0,64,80,813,112,115,42,101,008400,0.14758780841799707
"Census Tract 90, Philadelphia County, Pennsylvania",6084,0,97,144,47,233,72,70,87,202,650,356,11,42,101,009000,0.11650887573964498
"Census Tract 102, Philadelphia County, Pennsylvania",2409,0,34,0,0,82,104,16,46,184,344,99,50,42,101,010200,0.16013698630136988
"Census Tract 109, Philadelphia County, Pennsylvania",2032,6,27,55,0,74,78,9,67,95,391,117,34,42,101,010900,0.1691929133858268
"Census Tract 142, Philadelphia County, Pennsylvania",4011,0,208,273,74,581,81,17,348,645,787,393,162,42,101,014200,0.36196958364497633
"Census Tract 161, Philadelphia County, Pennsylvania",4774,0,209,128,49,361,167,67,313,480,800,302,303,42,101,016100,0.2730603267700042
"Census Tract 169.01, Philadelphia County, Pennsylvania",2492,0,54,68,8,82,247,0,0,103,244,69,10,42,101,016901,0.10789727126805779
"Census Tract 174, Philadelphia County, Pennsylvania",2027,0,16,33,6,62,21,6,13,60,298,44,0,42,101,017400,0.09439072520966946
